ts,best_bid,best_bid_qty,best_ask,best_ask_qty,mid,future_mid_horizon_5
632,10011,42,10013,84,10012.0,10007.0
633,10010,51,10012,118,10011.0,10010.0
634,10006,129,10010,51,10008.0,10013.0
635,10006,117,10008,71,10007.0,10014.0
636,10004,79,10006,18,10005.0,10014.0
637,10006,109,10008,12,10007.0,10018.0
638,10009,44,10011,124,10010.0,10016.0
639,10012,100,10014,8,10013.0,10015.0
640,10012,123,10016,64,10014.0,10014.0
641,10012,94,10016,27,10014.0,10011.0
642,10017,77,10019,58,10018.0,10015.0
643,10014,75,10018,60,10016.0,10012.0
644,10012,9,10018,85,10015.0,10009.0
645,10013,84,10015,79,10014.0,10006.0
646,10010,119,10012,50,10011.0,10001.0
647,10014,23,10016,130,10015.0,9995.0
648,10010,31,10014,108,10012.0,9996.0
649,10007,16,10011,87,10009.0,9993.0
650,10005,8,10007,163,10006.0,9994.0
651,10000,10,10002,121,10001.0,9993.0
652,9992,35,9998,46,9995.0,9993.0
653,9995,15,9997,118,9996.0,9993.0
654,9992,73,9994,15,9993.0,9993.0
655,9993,58,9995,149,9994.0,9991.0
656,9991,88,9995,75,9993.0,9990.0
657,9991,21,9995,70,9993.0,9990.0
658,9992,28,9994,140,9993.0,9989.0
659,9990,8,9996,185,9993.0,9988.0
660,9990,53,9992,124,9991.0,9988.0
661,9988,48,9992,65,9990.0,9988.0
662,9989,50,9991,112,9990.0,9989.0
663,9987,59,9991,125,9989.0,9988.0
664,9986,81,9990,23,9988.0,9992.0
665,9987,34,9989,87,9988.0,9993.0
666,9987,62,9989,29,9988.0,9996.0
667,9987,70,9991,35,9989.0,9999.0
668,9987,143,9989,13,9988.0,9998.0
669,9990,104,9994,8,9992.0,9999.0
670,9992,218,9994,8,9993.0,9997.0
671,9995,90,9997,24,9996.0,9997.0
672,9997,58,10001,84,9999.0,9994.0
673,9997,114,9999,83,9998.0,9992.0
674,9998,73,10000,120,9999.0,9988.0
675,9996,46,9998,166,9997.0,9984.0
676,9996,12,9998,177,9997.0,9984.0
677,9993,8,9995,83,9994.0,9980.0
678,9991,17,9993,163,9992.0,9976.0
679,9987,40,9989,130,9988.0,9974.0
680,9983,8,9985,110,9984.0,9972.0
681,9983,11,9985,153,9984.0,9972.0
682,9979,8,9981,150,9980.0,9974.0
683,9974,42,9978,133,9976.0,9974.0
684,9972,33,9976,139,9974.0,9977.0
685,9971,48,9973,70,9972.0,9979.0
686,9970,53,9974,52,9972.0,9977.0
687,9973,106,9975,105,9974.0,9979.0
688,9973,75,9975,37,9974.0,9974.0
689,9976,64,9978,41,9977.0,9972.0
690,9978,43,9980,100,9979.0,9973.0
691,9975,61,9979,69,9977.0,9972.0
692,9978,8,9980,184,9979.0,9973.0
693,9973,10,9975,71,9974.0,9970.0
694,9971,69,9973,47,9972.0,9971.0
695,9971,38,9975,46,9973.0,9974.0
696,9971,96,9973,94,9972.0,9977.0
697,9971,54,9975,83,9973.0,9976.0
698,9968,114,9972,41,9970.0,9976.0
699,9970,57,9972,33,9971.0,9977.0
700,9973,135,9975,47,9974.0,9978.0
701,9976,76,9978,80,9977.0,9975.0
702,9975,65,9977,26,9976.0,9975.0
703,9975,119,9977,33,9976.0,9974.0
704,9976,27,9978,127,9977.0,9974.0
705,9977,44,9979,75,9978.0,9973.0
706,9973,30,9977,92,9975.0,9976.0
707,9974,71,9976,37,9975.0,9975.0
708,9972,33,9976,62,9974.0,9974.0
709,9973,54,9975,75,9974.0,9976.0
710,9972,69,9974,81,9973.0,9981.0
711,9975,79,9977,87,9976.0,9983.0
712,9974,137,9976,14,9975.0,9986.0
713,9973,115,9975,8,9974.0,9989.0
714,9975,140,9977,63,9976.0,9994.0
715,9978,162,9984,9,9981.0,9998.0
716,9982,142,9984,9,9983.0,9999.0
717,9984,133,9988,13,9986.0,9995.0
718,9988,185,9990,15,9989.0,9992.0
719,9992,86,9996,67,9994.0,9992.0
720,9997,47,9999,58,9998.0,9992.0
721,9998,8,10000,117,9999.0,9994.0
722,9994,78,9996,80,9995.0,9998.0
723,9990,45,9994,22,9992.0,10003.0
724,9991,93,9993,30,9992.0,10007.0
725,9991,83,9993,8,9992.0,10009.0
726,9993,75,9995,47,9994.0,10013.0
727,9997,149,9999,34,9998.0,10015.0
728,10002,128,10004,16,10003.0,10017.0
729,10006,104,10008,8,10007.0,10018.0
730,10008,177,10010,22,10009.0,10019.0
731,10012,125,10014,48,10013.0,10020.0
732,10013,75,10017,19,10015.0,10020.0
733,10016,161,10018,8,10017.0,10020.0
734,10017,169,10019,28,10018.0,10021.0
735,10016,105,10022,11,10019.0,10026.0
736,10019,71,10021,25,10020.0,10028.0
737,10019,135,10021,8,10020.0,10031.0
738,10019,75,10021,8,10020.0,10032.0
739,10020,136,10022,8,10021.0,10031.0
740,10025,176,10027,15,10026.0,10033.0
741,10026,162,10030,43,10028.0,10032.0
742,10030,65,10032,27,10031.0,10034.0
743,10031,125,10033,8,10032.0,10033.0
744,10030,54,10032,50,10031.0,10033.0
745,10030,136,10036,47,10033.0,10031.0
746,10031,52,10033,49,10032.0,10030.0
747,10033,62,10035,119,10034.0,10031.0
748,10031,75,10035,83,10033.0,10029.0
749,10031,8,10035,120,10033.0,10028.0
750,10030,43,10032,87,10031.0,10024.0
751,10028,56,10032,97,10030.0,10018.0
752,10030,50,10032,81,10031.0,10017.0
753,10028,67,10030,68,10029.0,10017.0
754,10027,42,10029,117,10028.0,10013.0
755,10023,27,10025,112,10024.0,10016.0
756,10016,22,10020,69,10018.0,10015.0
757,10015,44,10019,164,10017.0,10016.0
758,10016,20,10018,128,10017.0,10018.0
759,10012,56,10014,57,10013.0,10020.0
760,10014,85,10018,67,10016.0,10022.0
761,10014,67,10016,47,10015.0,10025.0
762,10014,76,10018,11,10016.0,10026.0
763,10017,82,10019,8,10018.0,10030.0
764,10018,108,10022,52,10020.0,10026.0
765,10021,93,10023,23,10022.0,10026.0
766,10022,67,10028,50,10025.0,10024.0
767,10025,123,10027,60,10026.0,10021.0
768,10029,22,10031,66,10030.0,10020.0
769,10025,89,10027,80,10026.0,10017.0
770,10023,46,10029,146,10026.0,10014.0
771,10023,40,10025,115,10024.0,10011.0
772,10020,44,10022,130,10021.0,10008.0
773,10019,13,10021,85,10020.0,10009.0
774,10016,50,10018,133,10017.0,10010.0
775,10011,105,10017,72,10014.0,10007.0
776,10008,24,10014,90,10011.0,10005.0
777,10007,136,10009,55,10008.0,10004.0
778,10008,82,10010,91,10009.0,10006.0
779,10009,71,10011,131,10010.0,10006.0
780,10006,124,10008,90,10007.0,10008.0
781,10004,91,10006,112,10005.0,10009.0
782,10003,68,10005,59,10004.0,10008.0
783,10005,85,10007,41,10006.0,10009.0
784,10005,83,10007,46,10006.0,10009.0
785,10007,124,10009,78,10008.0,10008.0
786,10008,90,10010,67,10009.0,10006.0
787,10007,83,10009,36,10008.0,10000.0
788,10008,74,10010,15,10009.0,9995.0
789,10007,63,10011,90,10009.0,9993.0
790,10007,8,10009,113,10008.0,9992.0
791,10005,18,10007,131,10006.0,9996.0
792,9998,9,10002,132,10000.0,9996.0
793,9994,8,9996,160,9995.0,9998.0
794,9991,64,9995,55,9993.0,9999.0
795,9991,102,9993,34,9992.0,10003.0
796,9994,158,9998,53,9996.0,10008.0
797,9995,108,9997,8,9996.0,10012.0
798,9995,149,10001,8,9998.0,10016.0
799,9998,178,10000,14,9999.0,10018.0
800,10002,112,10004,19,10003.0,10020.0
801,10006,121,10010,8,10008.0,10024.0
802,10011,115,10013,20,10012.0,10025.0
803,10015,120,10017,21,10016.0,10027.0
804,10017,116,10019,8,10018.0,10029.0
805,10019,79,10021,14,10020.0,10030.0
806,10023,109,10025,22,10024.0,10030.0
807,10023,125,10027,14,10025.0,10028.0
808,10026,80,10028,8,10027.0,10023.0
809,10027,102,10031,50,10029.0,10020.0
810,10028,77,10032,135,10030.0,10017.0
811,10029,66,10031,83,10030.0,10020.0
812,10027,8,10029,182,10028.0,10017.0
813,10021,8,10025,140,10023.0,10016.0
814,10019,26,10021,53,10020.0,10018.0
815,10016,65,10018,33,10017.0,10022.0
816,10017,21,10023,93,10020.0,10023.0
817,10015,150,10019,25,10017.0,10027.0
818,10015,195,10017,8,10016.0,10030.0
819,10017,161,10019,8,10018.0,10029.0
820,10021,185,10023,23,10022.0,10030.0
821,10021,110,10025,8,10023.0,10029.0
822,10026,189,10028,8,10027.0,10032.0
823,10029,38,10031,71,10030.0,10032.0
824,10028,78,10030,106,10029.0,10034.0
825,10029,50,10031,77,10030.0,10036.0
826,10028,107,10030,48,10029.0,10036.0
827,10031,60,10033,36,10032.0,10038.0
828,10031,65,10033,82,10032.0,10040.0
829,10033,124,10035,95,10034.0,10044.0
830,10035,146,10037,60,10036.0,10042.0
831,10035,111,10037,44,10036.0,10040.0
832,10037,111,10039,27,10038.0,10038.0
833,10039,163,10041,9,10040.0,10039.0
834,10043,52,10045,62,10044.0,10041.0
835,10041,15,10043,160,10042.0,10039.0
836,10039,8,10041,149,10040.0,10033.0
837,10037,192,10039,9,10038.0,10031.0
838,10038,127,10040,8,10039.0,10030.0
839,10040,88,10042,44,10041.0,10028.0
840,10038,66,10040,95,10039.0,10024.0
841,10032,27,10034,124,10033.0,10019.0
842,10030,70,10032,108,10031.0,10014.0
843,10028,50,10032,94,10030.0,10009.0
844,10027,8,10029,136,10028.0,10005.0
845,10022,9,10026,70,10024.0,10000.0
846,10018,18,10020,170,10019.0,9997.0
847,10012,9,10016,145,10014.0,9994.0
848,10008,8,10010,202,10009.0,9991.0
849,10004,8,10006,183,10005.0,9987.0
850,9999,8,10001,97,10000.0,9983.0
851,9994,8,10000,120,9997.0,9982.0
852,9991,8,9997,80,9994.0,9982.0
853,9990,19,9992,184,9991.0,9980.0
854,9986,15,9988,75,9987.0,9980.0
855,9982,8,9984,164,9983.0,9978.0
856,9981,53,9983,34,9982.0,9979.0
857,9981,46,9983,129,9982.0,9984.0
858,9979,16,9981,80,9980.0,9983.0
859,9979,27,9981,180,9980.0,9984.0
860,9977,96,9979,64,9978.0,9982.0
861,9978,128,9980,11,9979.0,9982.0
862,9982,55,9986,45,9984.0,9986.0
863,9982,8,9984,68,9983.0,9988.0
864,9983,33,9985,181,9984.0,9985.0
865,9980,74,9984,21,9982.0,9987.0
866,9980,126,9984,43,9982.0,9986.0
867,9985,40,9987,65,9986.0,9983.0
868,9987,49,9989,62,9988.0,9982.0
869,9984,40,9986,77,9985.0,9977.0
870,9986,8,9988,90,9987.0,9976.0
871,9984,58,9988,136,9986.0,9976.0
872,9982,8,9984,107,9983.0,9973.0
873,9979,47,9985,137,9982.0,9972.0
874,9976,27,9978,108,9977.0,9971.0
875,9974,10,9978,124,9976.0,9974.0
876,9975,27,9977,89,9976.0,9975.0
877,9972,35,9974,83,9973.0,9977.0
878,9971,33,9973,53,9972.0,9979.0
879,9970,135,9972,64,9971.0,9981.0
880,9973,39,9975,122,9974.0,9984.0
881,9974,52,9976,59,9975.0,9981.0
882,9976,106,9978,105,9977.0,9979.0
883,9978,106,9980,100,9979.0,9975.0
884,9979,89,9983,102,9981.0,9975.0
885,9983,10,9985,99,9984.0,9970.0
886,9979,12,9983,178,9981.0,9966.0
887,9977,8,9981,124,9979.0,9964.0
888,9974,19,9976,74,9975.0,9962.0
889,9974,8,9976,176,9975.0,9961.0
890,9969,18,9971,122,9970.0,9957.0
891,9965,8,9967,173,9966.0,9956.0
892,9963,8,9965,170,9964.0,9955.0
893,9961,8,9963,156,9962.0,9954.0
894,9960,34,9962,178,9961.0,9953.0
